Talasna duzina_Tirkizna [nm]	 Intenzitet svetlosti_Tirkizna [cd]
521.837	59459.57813
522.418	60723.21875
522.998	61428.16016
523.579	62271.96094
524.159	62931.5
524.739	63278.05859
525.320	63543.51953
525.900	63737.32031
526.480	63597.42188
527.060	63502.35938
527.640	63148.42188
528.220	62853.62109
528.800	62220.42188
529.380	61639.32031
529.960	60854.10156
530.540	59870.26172
531.120	58805.44141
531.700	57794.35938
532.280	56599.51953
532.860	55448.44141
533.440	54252.30078
534.019	52808.60156
534.599	51479.14063
535.179	50208.17969
535.758	48794.26172
536.338	47527.94141
536.917	46014.57813
537.497	44759.96094
538.076	43460.48047
538.656	42187.78125
539.235	40883.60156
539.814	39659.92188
540.393	38526.03906
540.973	37340.64063
541.552	36138.53906
542.131	35037.89844
542.710	33889.89844
543.289	32849.03906
543.868	31803.17969
544.447	30832.90039
545.026	29938.40039
545.605	28921.96094
546.184	27887.40039
546.763	27051.40039
547.342	26082.48047
547.921	25193.16016
548.499	24372.32031
549.078	23416.19922
549.657	22625.74023
550.235	21820.41992
550.814	21002.83984
551.393	20115.08008
551.971	19323.7793
552.550	18586.83984
553.128	17833.59961
553.706	17134.80078
554.285	16459.32031
554.863	15784.45996
555.441	15099.44043
556.020	14458.82031
556.598	13812.09961
557.176	13242.83984
557.754	12698.09961
558.332	12138.7002
558.910	11632.08008
559.488	11194.95996
560.066	10677.86035
560.644	10279.67969
561.222	9804.259766
561.800	9410.639648
562.378	9007.639648
562.955	8671.419922
563.533	8291.259766
564.111	7980.220215
564.688	7627.779785
565.266	7349.200195
565.844	7007.339844
566.421	6826.5
566.999	6480.859863
567.576	6247.740234
568.154	5983.939941
568.731	5759.100098
569.308	5539.419922
569.886	5329.160156
570.463	5062.060059
571.040	4873.120117
571.617	4690.700195
572.194	4503.97998
572.771	4318.540039
573.349	4169.319824
573.926	3976.439941
574.503	3813.860107
575.079	3671.540039
575.656	3510.879883
576.233	3378.23999
576.810	3268.060059
577.387	3103.060059
577.964	2973.300049
578.540	2875.100098
579.117	2746.800049
579.693	2626.679932
580.270	2546.399902
580.847	2428.780029
581.423	2322.719971
582.000	2236.780029
582.576	2156.899902
583.152	2028.420044
583.729	1968.619995
584.305	1863.079956
584.881	1796.920044
585.457	1759.160034
586.034	1673.73999
586.610	1596.400024
587.186	1549.839966
587.762	1509.23999
588.338	1450.560059
588.914	1396.119995
589.490	1352
590.066	1287.47998
590.641	1244.5
591.217	1196.579956
591.793	1141.060059
592.369	1111.959961
592.945	1055.339966
593.520	1034.52002
594.096	978.1599731
594.671	965.1599731
595.247	939
595.822	878.2000122
596.398	878.4000244
596.973	852.4799805
597.549	821.5800171
598.124	777.8400269
598.699	760.7800293
599.274	729.2199707
599.850	697.7999878
600.425	697.039978
601.000	674.7199707
601.575	637.4199829
602.150	614.7600098
602.725	595.0999756
603.300	589.7000122
603.875	564.3599854
604.450	544.6599731
605.024	538.6799927
605.599	501.5599976
606.174	498.8399963
606.749	482.6799927
607.323	459.5599976
607.898	461.2000122
608.473	445.019989
609.047	431.6400146
609.622	422.7799988
610.196	416.0599976
610.771	390.2200012
