Talasna duzina_Zuta [nm]	 Intenzitet svetlosti_Zuta [cd]
565.266	6905.839844
565.844	6669.740234
566.421	6370.620117
566.999	6147.600098
567.576	5884.339844
568.154	5676.120117
568.731	5421.459961
569.308	5217.939941
569.886	5018.939941
570.463	4858.580078
571.040	4650.319824
571.617	4470.919922
572.194	4357.120117
572.771	4122.959961
573.349	3979.139893
573.926	3829.459961
574.503	3714.919922
575.079	3568.26001
575.656	3437.040039
576.233	3321.52002
576.810	3226.26001
577.387	3153.139893
577.964	2993.280029
578.540	2905.540039
579.117	2843.23999
579.693	2720.860107
580.270	2637.340088
580.847	2585.959961
581.423	2525.600098
582.000	2445.340088
582.576	2388.320068
583.152	2353.97998
583.729	2291.800049
584.305	2283.879883
584.881	2231.560059
585.457	2208.179932
586.034	2192.439941
586.610	2205.76001
587.186	2160.459961
587.762	2196.97998
588.338	2170.320068
588.914	2240.340088
589.490	2254.620117
590.066	2287.399902
590.641	2322.820068
591.217	2356.179932
591.793	2383.47998
592.369	2438.560059
592.945	2497.620117
593.520	2579.659912
594.096	2721.47998
594.671	2847.060059
595.247	2941.780029
595.822	3071.199951
596.398	3181.600098
596.973	3285.139893
597.549	3411.399902
598.124	3558.639893
598.699	3690.5
599.274	3912.97998
599.850	4156.419922
600.425	4453.359863
601.000	4756.580078
601.575	5124.220215
602.150	5435.02002
602.725	5743.740234
603.300	6104.580078
603.875	6437.540039
604.450	6784.220215
605.024	7206
605.599	7824.100098
606.174	8468.519531
606.749	9263.540039
607.323	10118.74023
607.898	11114.21973
608.473	11926.98047
609.047	12871.04004
609.622	13760.54004
610.196	14635.45996
610.771	15574.33984
611.345	16637.66016
611.919	17780.67969
612.493	19070.43945
613.068	20547.56055
613.642	22155.90039
614.216	23716.58008
614.790	25360.43945
615.364	26823.53906
615.938	27968.7793
616.512	29056.66016
617.086	30051.46094
617.660	31018.75977
618.234	32149.2207
618.808	33577.60156
619.382	35106.96094
619.955	36839.94141
620.529	39602.03906
621.103	43619.10156
621.676	46704.32031
622.250	50619.30078
622.824	52289.05859
623.397	55478.67969
623.971	56956.14063
624.544	58527.80078
625.117	59162.60156
625.691	60077.64063
626.264	60484.44141
626.837	60771.48047
627.410	60594.17969
627.984	59792.33984
628.557	58174.62109
629.130	56228.96094
629.703	53506.53906
630.276	50330.03906
630.849	46927.73828
631.422	43436.71875
631.994	40044.30078
632.567	36672.14063
633.140	33392.05859
633.713	30493.56055
634.285	27412.80078
634.858	24658.88086
635.431	21758.61914
636.003	19160.30078
636.576	16604.82031
637.148	14568.95996
637.721	12685.94043
638.293	11147.08008
638.865	9933.05957
639.438	8858.820313
640.010	7932.160156
640.582	7113.52002
641.154	6381.879883
641.727	5686.919922
642.299	5015.02002
642.871	4505.240234
643.443	3921.080078
644.015	3492.76001
644.587	3121.919922
645.159	2774.780029
645.730	2510.679932
646.302	2266.040039
646.874	2015.880005
647.446	1830.599976
648.017	1673.880005
648.589	1509.160034
649.161	1346.319946
649.732	1246.280029
650.304	1119.140015
650.875	1043.880005
651.446	954.3599854
652.018	858.7399902
652.589	811.6199951
653.160	761.6400146
653.732	699.4000244
654.303	659.2999878
654.874	736.960022
655.445	720.460022
656.016	599.7000122
656.587	627.4000244
657.158	492.0599976
657.729	593.8800049
658.300	393.5
658.871	425.8200073
659.442	329.6000061
660.012	342.3399963
660.583	285.2200012
661.154	268.6199951
661.724	256.8200073
662.295	252.8999939
662.866	219.1999969
663.436	204.5399933
664.007	199.8600006
664.577	204.8600006
665.147	189.7599945
665.718	195.7799988
666.288	177.3600006
666.858	188.8600006
667.428	169.8600006
667.999	172.0399933
668.569	176.0200043
669.139	162.6600037
669.709	168.1399994
670.279	165.8000031
670.849	162.2400055
