Talasna duzina_Plava [nm]	 Intenzitet svetlosti_Plava [cd]
910.969	-20.23999977
911.518	-17.68000031
912.067	0.720000029
912.616	-14.42000008
913.164	-15.73999977
913.713	-1.960000038
914.261	-5.920000076
914.810	-22.71999931
915.358	-14.02000046
915.906	-13.69999981
916.455	-16.31999969
917.003	-7.179999828
917.551	0.079999998
918.099	-5.860000134
918.647	-3.180000067
919.195	-10.72000027
919.743	-13.52000046
920.291	-18.07999992
920.839	-11.53999996
921.387	-15.5
921.934	-12.22000027
922.482	-14.60000038
923.030	1.360000014
923.577	-16.21999931
924.125	-11.38000011
924.672	-13.52000046
925.219	-12.06000042
925.767	-13.57999992
926.314	-15.5
926.861	-17.79999924
927.409	-9.380000114
927.956	-15.80000019
928.503	-5.920000076
929.050	-4.619999886
929.597	-8.020000458
930.143	-4.920000076
930.690	-7.639999866
931.237	-17.57999992
931.784	-7.340000153
932.331	-14.31999969
932.877	-2.299999952
933.424	-7.440000057
933.970	-15.14000034
934.517	-11.56000042
935.063	-15.42000008
935.609	-10.18000031
936.156	-13.14000034
936.702	-10.53999996
937.248	-16.28000069
937.794	-15.46000004
938.340	-16.45999908
938.886	-11.43999958
939.432	-5.800000191
939.978	-27.04000092
940.524	-9.720000267
941.070	-9.380000114
941.616	-25.26000023
942.161	-17.34000015
942.707	-11.34000015
943.252	-18.13999939
943.798	-15.38000011
944.343	-4.940000057
944.889	-14
945.434	-10.52000046
945.979	-16.34000015
946.525	-20.71999931
947.070	-12.89999962
947.615	-23.10000038
948.160	-5.380000114
948.705	-7.900000095
949.250	-17.37999916
949.795	-16.81999969
950.340	-18.79999924
950.884	-14.69999981
951.429	-8.619999886
951.974	-17.12000084
952.518	-7.239999771
953.063	-6.679999828
953.607	-10.69999981
954.152	-14.27999973
954.696	-4.119999886
