Talasna duzina_Ljubicasta [nm]	 Intenzitet svetlosti_Ljubicasta [cd]
726.484	87.86000061
727.050	84.30000305
727.615	89.77999878
728.181	82.91999817
728.746	87
729.311	80.26000214
729.876	83.40000153
730.442	75.95999908
731.007	71.68000031
731.572	82.36000061
732.137	84.63999939
732.702	89.12000275
733.267	75.22000122
733.832	67.23999786
734.397	79.81999969
734.961	83.44000244
735.526	74.54000092
736.091	67.19999695
736.655	83.22000122
737.220	79.63999939
737.785	79.19999695
738.349	78.69999695
738.914	60
739.478	73.90000153
740.042	71.13999939
740.607	66.76000214
741.171	67.04000092
741.735	65.73999786
742.299	58.18000031
742.864	66.26000214
743.428	59.72000122
743.992	68.69999695
744.556	58.38000107
745.120	60.54000092
745.684	45.31999969
746.248	58.54000092
746.811	52.91999817
747.375	57.79999924
747.939	47.08000183
748.503	56.24000168
749.066	40
749.630	38.24000168
750.193	30.73999977
750.757	30.81999969
751.320	35.18000031
751.884	30.68000031
752.447	24.45999908
753.010	29.62000084
753.573	16.12000084
754.137	19.5
754.700	18.04000092
755.263	21
755.826	21.68000031
756.389	17.97999954
756.952	20.21999931
757.515	7.71999979
758.078	17.15999985
758.641	22.97999954
759.203	15.92000008
759.766	17.65999985
760.329	2.440000057
760.891	6.21999979
761.454	-1.779999971
762.016	8.140000343
762.579	-8.399999619
763.141	17.04000092
763.704	0.639999986
764.266	5.840000153
764.828	-0.25999999
765.391	7.820000172
765.953	2.220000029
766.515	5.980000019
767.077	-0.400000006
767.639	2.700000048
768.201	2.319999933
768.763	-2.359999895
769.325	1.120000005
769.887	2.099999905
770.449	0.239999995
771.010	-8.140000343
771.572	-1.25999999
772.134	-4.320000172
772.695	-7.400000095
773.257	0.560000002
773.818	5.659999847
774.380	0.360000014
774.941	-0.560000002
775.503	-5.079999924
776.064	-2.559999943
776.625	-1.620000005
777.187	3.200000048
777.748	5.320000172
778.309	-6.320000172
778.870	-5.539999962
779.431	-4.559999943
779.992	0.100000001
780.553	2.200000048
781.114	2.059999943
781.675	-3.200000048
782.235	8
782.796	0.699999988
783.357	5.920000076
783.918	-12.38000011
784.478	0.620000005
785.039	2.400000095
785.599	1.919999957
786.160	-4.880000114
786.720	-9.06000042
787.280	2.059999943
787.841	-1.320000052
788.401	-17.65999985
788.961	-3.640000105
789.521	-0.379999995
790.081	-4.380000114
790.641	-1.960000038
791.201	8.43999958
791.761	-2.339999914
792.321	-0.519999981
792.881	2.279999971
793.441	-5.079999924
794.001	-1
794.560	-5.179999828
795.120	-11.57999992
795.680	4.019999981
796.239	3.279999971
796.799	-0.100000001
797.358	-5.699999809
797.918	-2.279999971
798.477	3.400000095
799.036	-4.920000076
799.596	-4.400000095
800.155	3.019999981
800.714	-15.89999962
801.273	-5.480000019
801.832	-5.440000057
802.391	-10.57999992
802.950	-6.019999981
803.509	1.799999952
804.068	-0.219999999
804.627	-10.42000008
805.186	-3.859999895
805.744	-0.839999974
806.303	1.980000019
806.862	6.519999981
807.420	-16.79999924
